h,e,h,e,h,h,h,f,c,b,h,h,f,f,f,l,k,f,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,j,c,b,k,f
1613.1,1802.8,1978.8,2262.2,2442.8,2605,2786,2909.3,3010.5,3086.8,3282.4,3443.7,3568.4,3689.2,3803.4,3978.9,4220.7,4370.7,4468.4,4551.8,4683.4,4828.2,4945.1,5048.7,5126.1,5283.7,5444.7,5564.4,5661,5736.8,5895.6,6118,6278.7,6409.7,6505.3,6578.6,6714,6878.7
1672.6,1871.4,2020,2308.2,2481.6,2659.9,2816.3,2978.2,3072.3,3136.7,3329.2,3487.4,3640,3757.9,3870.9,4136.8,4290.8,4442.8,4530.2,4599.3,4751.9,4898.6,5015.9,5110.3,5180.6,5358.6,5519.2,5635.7,5721.1,5789.2,5963.5,6157.1,6315.7,6460.3,6564.3,6634.9,6788.3,6948.7
