h,e,h,h,h,f,c,b,h,l,k,f,c,g,j,d,d,c,b,k,f,f,f,c,b,k,f,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,f,c,b,k,f,f,c,g,j,c,b,h,h,j,d,d,c,b,h,l,q,h,h,f,c,b,k
1172,1405,1547.4,1787.9,1981.5,2127.8,2232.4,2310,2583.4,2775.8,2990.5,3138.5,3242.9,3351.2,3437.8,3534.6,3650.7,3756.3,3830.9,4072.8,4218.7,4338.1,4454.2,4554.2,4632.7,4771.4,4931.7,5055.8,5177.2,5275.6,5356.7,5498,5680.4,5836.3,5962.5,6057.7,6172.8,6286.7,6360.1,6563,6711,6828,6930.6,7043,7129,7230.5,7352.1,7459.9,7537.5,7956.1,8122.7,8357.2,8493.8,8597.3,8674.2,8799,8945.8,9066.5,9165.7,9284.5,9370.3,9475,9552.6,9820.7,9978.6,10092,10190,10305,10415,10494,10873,11076,11305,12097,12261,12423,12531,12612,12736
1242.4,1453.4,1611.9,1858.3,2028.4,2196.9,2290.8,2350.9,2657.6,2907.4,3064.7,3207,3302.9,3390.5,3481.1,3632,3733.1,3815.9,3877.8,4142.3,4288.2,4409.5,4523,4615.2,4681.2,4826.7,5002.8,5126.5,5248.4,5336.5,5398.1,5568.8,5728.2,5881.7,6012.9,6152.3,6262.9,6342.3,6408.8,6629.5,6785.5,6901.3,6996.2,7097.6,7184.7,7327.7,7434.2,7522.7,7581.7,8018.9,8165.3,8433.2,8570.2,8659.6,8731.2,8875.5,9022.4,9140.7,9233.1,9340.6,9426.9,9535.2,9602.5,9865.9,10022,10143,10285,10392,10479,10548,10920,11191,11378,12146,12306,12494,12592,12662,12812
