h,h,h,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,f,f,c,b,h,h,h,h,j,d,d,c,b
2149.8,2312.6,2470.9,2758.3,2841.3,2974.1,3123.3,3245.6,3349.4,3464.1,3553.1,3649.4,3770.2,3881.8,3960.8,4110.1,4322.2,4501.6,4798.2,4878.6,5031.6,5182.2,5302.7,5407,5488.8,5736.1,5888.6,6014.8,6121.4,6203.1,6401.5,6606.8,6771,6903.5,7024.4,7124.5,7208.3,8026.3,8198.1,8378.4,8563,8679.1,8777.2,8892.8,9005.9,9085.5
2193.4,2354,2515.4,2816.4,2890.7,3045.1,3192.8,3315.8,3413.7,3518.2,3600.2,3744.5,3853.9,3945.2,4018.6,4185.8,4364.8,4543.6,4860.6,4925,5099.8,5254.5,5375.3,5471.9,5532.6,5804,5960,6088.3,6184.3,6251,6472.8,6652.9,6817.1,6975.8,7098.1,7187.9,7252.8,8067.2,8241.3,8417.3,8605.2,8729.3,8874.3,8979.5,9071.1,9140.9
