h,h,h,h,h,h,e,h,f,c,b,k,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,h,l,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,f,c,b,k,h,h,j,d,d,c,b,k,f,h,h,l,k,f,f,c,g,j,d,d,c,b
1980.3,2444,2884.9,3373.8,3541.7,3702.3,3887.3,4035.2,4166.1,4270.7,4347.3,4473.8,4625.6,4727.6,4839.2,4924,5020,5137.1,5242.6,5322.8,5505.8,5689.5,5845.5,5962.1,6056,6174,6282.5,6357.9,6582.8,6755.6,6916.2,7083.2,7258.8,7407.1,7525.7,7630.5,7740.7,7826.5,7927.5,8044,8151,8227.6,8482.7,8818.5,8935.2,9030.2,9148.2,9261.2,9341.4,9502.2,9641.7,9765.7,9893.8,9995.5,10076,10199,10403,10563,10681,10781,10897,11012,11088,11263,11409,11620,11784,11939,12104,12248,12370,12475,12594,12681,12785,12909,13018,13098
2017.7,2492.6,2927.6,3419.6,3589,3746.1,3941.9,4082,4236.2,4331.2,4395,4547.6,4699.1,4787.3,4894.4,4974.1,5118.6,5216.5,5304.8,5367.3,5578.2,5724.3,5878.6,6008.3,6155.6,6254.9,6345.3,6408,6625.1,6797.1,6962.2,7201.2,7329.1,7479.8,7596.5,7693.4,7795.2,7877.8,8017.1,8130.1,8211.1,8275.2,8526.9,8864.1,8987.3,9120.4,9236.7,9323.4,9388.5,9570,9714.8,9840,9963.9,10058,10121,10275,10448,10605,10729,10873,10987,11070,11131,11330,11483,11662,11832,12045,12181,12324,12447,12538,12648,12731,12883,12994,13080,13143
