u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,w,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,u,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r
1156.5,1314.4,1599.9,1742.2,1979,2132.4,2229,2323.7,2511.4,2693.8,2893.4,3019.9,3119.7,3284.4,3422.3,3588.3,3731.8,3835.3,3931.2,4107.3,4285.8,4487,4704.6,4785.8,4882.4,5059.8,5242.6,5444,5564.4,5666,5815.3,5910.6,6070.7,6201.4,6362.9,6502.7,6606.3,6702,6878.3,7059.5,7254,7378,7478.3,7627.8,7724.4,7885.8,8014.9,8193.7,8342.8,8442,8537.6,8711.1,8895.3,9088.8,9298.4,9377.6,9472.3,9643.4,9825.4,10028,10151,10252,10401,10497,10667,10801,10967,11120,11217,11312,11488,11674,11876,12237,12376,12596,12739,12837,12934,13109,13297,13503,13629,13733,13884,13985,14145,14243,14408,14543
1205,1402.6,1653.1,1826.9,2057.3,2202.8,2303.2,2391.5,2629.2,2782.1,2959.3,3072.3,3201.5,3361,3502.8,3668.5,3811.5,3912.7,4001.8,4225.2,4376,4560,4742.1,4858.4,4948.7,5181.2,5334.2,5509.9,5620.4,5741.3,5865.6,5992.1,6147.8,6275.9,6446.2,6580.6,6684.7,6768.5,7001.8,7148.7,7320.7,7433.4,7558.3,7678.7,7806.7,7964,8091.7,8287.1,8418,8521.6,8611.9,8836.5,8987.6,9167.7,9336.8,9455.2,9542.6,9763.5,9917.5,10098,10207,10334,10455,10580,10746,10879,11059,11192,11292,11383,11610,11773,11960,12289,12479,12680,12813,12918,13003,13229,13386,13572,13688,13814,13943,14064,14199,14323,14486,14623
