u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,w,u,r,n,n,a,b,l,e,r,w,a,b,l,e,s,d,x,d,x,s,r,w,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,w,u,r,n,n,a,b,l,e,r,w,u,r,u
1133.9,1333.4,1547.6,1732.5,1984.3,2136.7,2242.8,2339.5,2549.6,2740.9,2946.8,3082,3194.6,3360.4,3506.1,3694.7,3846.9,3948.3,4044.3,4236.8,4428.4,4629.5,4761.1,4869.8,5042.6,5182.6,5363.2,5519.6,5621.2,5719.4,5909.1,6095.7,6313.4,6451.2,6560.7,6712.6,6813.5,6974.2,7109.9,7288.5,7447.1,7546.9,7643.7,7818.4,8007.3,8204.2,8417.5,8504.2,8602.1,8738.9,8952.6,9101,9203.7,9303.1,9491.9,9675.6,9894.2,10025,10132,10281,10380,10540,10674,10846,10999,11101,11197,11382,11563,11763,11970,12051,12274,12491,12644,12744,12843,13023,13209,13416,13548,13655,13816,13918,14089,14227,14399,14533,14680,14919,15071,15172,15270,15464,15653,15857,16069,16145,16244,16427,16616,16831,16966,17072,17230,17332,17523,17663,17848,18004,18166,18387,18532,18634,18733,18919,19108,19325,19467,19576,19733,19828,19998,20136,20321,20479,20583,20681,20871,21064,21284,21420,21530,21695,21800,21975,22115,22306,22499,22645,22882,23040,23141,23238,23434,23629,23837,24058,24208,24374,24646
1178.3,1384,1594.8,1845.5,2067.6,2218.3,2321.6,2407.5,2671.7,2841.2,3014.7,3139.1,3273.8,3438.1,3587.2,3778,3925.2,4031,4116.3,4359.7,4521.9,4696.1,4812.2,4946.6,5118.4,5263.2,5447.9,5597.9,5701,5786.7,6032.5,6191.3,6382.9,6507.9,6639.5,6771.5,6888.9,7050.7,7191.7,7384.1,7523.1,7628.9,7715.2,7949.6,8105,8287.5,8455.6,8548.8,8652.7,8838.5,9040.5,9180.1,9287,9374.7,9602.8,9764.2,9961.2,10082,10204,10333,10461,10621,10747,10929,11075,11176,11264,11504,11660,11849,12008,12177,12364,12579,12718,12824,12914,13142,13304,13486,13609,13737,13871,13994,14168,14306,14456,14588,14778,15012,15149,15256,15342,15581,15749,15940,16100,16222,16317,16553,16714,16904,17022,17147,17285,17410,17599,17745,17904,18063,18270,18466,18608,18715,18804,19045,19206,19401,19524,19652,19785,19908,20075,20217,20407,20557,20663,20755,20991,21158,21353,21480,21611,21754,21882,22055,22198,22358,22553,22742,22972,23117,23222,23316,23557,23728,23915,24093,24256,24476,24705
