u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,u,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,u,r,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,w,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e,r,w
1045.3,1236.6,1579.1,1732.6,1968.6,2113.8,2215,2311.8,2508.2,2698.2,2909.5,3045.1,3156.6,3323.3,3466.2,3644.7,3784.2,3883.8,3982.1,4170.6,4355.8,4571.1,4699.2,4807.3,4967,5063.8,5222.8,5363.2,5531.6,5684.4,5785.9,5883.6,6066.3,6247.8,6458.9,6589.2,6692.5,6852.7,6949.3,7112.2,7246.6,7414.5,7564.6,7665.2,7762.5,7942.3,8129,8333.5,8466.1,8573.1,8729.8,8831.3,8998.8,9139.8,9319.6,9469.5,9570.3,9668,9842.2,10030,10224,10434,10517,10714,10910,11048,11151,11250,11436,11624,11824,12035,12128,12311,12531,12678,12782,12879,13145,13282,13503,13655,13758,13858,14046,14234,14439,14643,14726,14932,15154,15306,15412,15514,15700,15888,16092,16221,16324,16483,16581,16760,16892,17071,17223,17327,17426,17613,17802,18003,18216,18299,18476,18629,18917,19079,19234,19458,19609,19714,19814,20006,20197,20409,20539,20646,20808,20911,21075,21219,21401,21525,21668,21892,22039,22141,22240,22435,22636,22835,22973,23081,23252,23352,23539,23699,23897,24120,24284,24522,24679,24782,24884,25073,25280,25494,25697
1091,1316.7,1624.2,1809.6,2047.9,2190.8,2288.1,2377.3,2623.7,2788.6,2969.8,3096.2,3241.8,3399.5,3542.9,3719.1,3858.3,3963.2,4049.2,4294.3,4446.6,4631.5,4747.7,4883.5,5012,5139.6,5300,5442.4,5616.2,5759.1,5866.8,5950,6184.4,6341.1,6518.9,6643,6767.4,6905.5,7023.3,7188.4,7318.6,7503.3,7634.2,7742.3,7828.7,8069.2,8224.6,8394.6,8527.5,8647.5,8780.8,8908.6,9077.1,9212.8,9412.1,9545.9,9647.8,9737.1,9962.1,10117,10305,10471,10622,10809,10994,11126,11229,11318,11563,11725,11904,12066,12229,12415,12617,12760,12863,12946,13195,13378,13595,13735,13841,13926,14173,14331,14518,14680,14838,15029,15244,15384,15490,15583,15829,15980,16161,16276,16401,16534,16666,16833,16970,17159,17301,17409,17496,17734,17897,18079,18248,18349,18536,18730,18965,19136,19339,19544,19686,19789,19882,20125,20293,20472,20592,20719,20859,20989,21155,21293,21456,21566,21761,21979,22117,22220,22310,22552,22706,22904,23031,23163,23307,23435,23609,23773,23960,24176,24373,24608,24754,24861,24954,25188,25382,25575,25729
