u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,t,r
1137.3,1355,1555.5,1775.7,1966.6,2226.8,2376.4,2474.7,2573.4,2760.8,2950.2,3159.7,3288.2,3403.7,3573.9,3714,3899.6,4046.4,4147.1,4247.8,4431.8,4613.5,4821.8,5011.8,5120.2,5287.5,5495.8,5646.1,5747.5,5843.4,6029.8,6217.8,6424.3,6557.5,6663.6,6828.7,6978.8
1184.5,1401,1603,1833.2,2063,2306.1,2449.2,2548.3,2635,2878.3,3047.1,3218.1,3346.5,3481.3,3649.1,3792.8,3980,4123.2,4227.3,4312.8,4548.4,4707.7,4898.5,5062.4,5201.8,5383.7,5576.9,5718.2,5819.4,5911.1,6161.3,6318.6,6489.2,6609.2,6741.1,6904.8,7053
