u,u,u,r,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1035,1194.6,1370.8,1534.9,1812.2,1961.6,2247.5,2391.8,2615.8,2763.5,2864.3,2960.3,3153.1,3340.5,3547.7,3683.4,3791,3957.8,4096.6,4256.4,4399,4497.8,4593.5,4775.5,4958.9,5192.1,5317.2,5424.4,5577.7,5674.3,5844.1,5977.4,6147.5,6293.8,6393.9,6491.3,6670.9,6856.9,7059.2,7187.7,7290.5,7443.9,7542.1,7711.7,7842.7,8006.9,8152.3,8251.8,8351,8528.5,8712.7,8909.2,9110.7,9189.8,9282.1,9463.4,9646.7,9849.6,9973.8,10079,10226,10323,10490,10625,10802,10948,11046,11145,11326,11517,11723,11848,11951,12107,12211,12377,12520,12698,12846,12949,13048,13233,13430,13636,13764,13867,14022,14122,14296,14450
1082.9,1251,1421.8,1617.1,1858.2,2057.9,2298.5,2482.6,2690.4,2834.2,2936.7,3023.9,3272.1,3427.9,3611.5,3733.4,3871.7,4032.8,4165.6,4335.8,4472,4572.8,4659.5,4895.6,5053.7,5259.2,5373.9,5511,5629.7,5760.6,5919.1,6048.7,6230.2,6368.7,6470.1,6556.2,6790.5,6954.4,7128.1,7243.8,7371.2,7493.1,7625.6,7784.7,7914.2,8090.1,8225.8,8326.9,8414.5,8648.2,8806.5,8992.9,9148.5,9267,9352.3,9584.1,9734.7,9917.4,10030,10157,10276,10400,10567,10697,10894,11022,11128,11214,11450,11613,11787,11905,12037,12164,12291,12455,12591,12783,12924,13035,13119,13354,13522,13702,13821,13948,14076,14205,14374,14521
