r,l,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,r,x,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1127.2,1440.4,1602.8,1746.9,1795.4,1981.2,2132.8,2233.4,2329.8,2518.1,2706,2909.9,3041.4,3145.1,3308.6,3445.3,3625.7,3770.2,3872.7,3969.3,4169,4353.8,4562.5,4690.5,4792.2,4958.4,5097.7,5268.3,5413.5,5514.2,5613.5,5794.6,5979.7,6190.8,6332.5,6435.7,6599.6,6731.2,6899.4,7048.3,7154.3,7252.6,7427.6,7611.8,7820.6,7950.7,8053.1,8212.3,8312.3,8480.5,8617.4,8795.6,8950.7,9057.8,9153.5,9329.9,9516.6,9716.8,9930.5,10013,10201,10420,10569,10671,10769,10964,11155,11361,11644,11840,12062,12215,12318,12419,12597,12783,12985,13114,13220,13375,13476,13645,13792,13979,14146,14304,14516,14663,14764,14863,15051,15249,15479,15612,15719,15883,15984,16155,16299
1216.5,1486.2,1656.2,1790.2,1840.4,2055.8,2204.8,2305.8,2394.3,2640.7,2800.2,2973.6,3096.1,3223.4,3385.3,3514.8,3703.1,3847.7,3947.2,4038.3,4288.9,4449.3,4625.7,4739.5,4872.2,5039.2,5165.8,5354.2,5491,5588.7,5682.2,5916.5,6072.7,6255.4,6387.4,6512,6676.6,6809.8,6980,7129.5,7229.8,7319.2,7547.2,7711.6,7889.2,8005.5,8134.1,8263.3,8391.9,8557.8,8690.3,8891.4,9030.7,9132,9225.4,9453.2,9615.5,9795.2,9962.8,10121,10295,10503,10645,10747,10838,11088,11255,11438,11753,11936,12149,12292,12395,12483,12717,12876,13055,13172,13301,13426,13558,13722,13868,14044,14199,14394,14595,14744,14842,14932,15172,15347,15544,15667,15802,15939,16067,16231,16374
