r,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,b,l,e,r,w,a,r,n,n,a,b,l,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,r,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e,r,w,a
1045.9,1429.7,1610.5,1746,1959.5,2097.3,2194.5,2288.8,2471.3,2651.7,2853.9,2976.4,3081.2,3240.5,3337.1,3502.8,3634.1,3811.7,3954.8,4052.6,4149.6,4322,4496,4687.1,4808.7,4910.3,5055.3,5148.9,5305.3,5457.4,5619.6,5760.5,5858.2,5954.7,6122.9,6301.2,6494.8,6695.5,6771.5,6868.1,7049.9,7228.1,7424.3,7629.4,7706.5,7903.9,8108.9,8251.1,8348.3,8442.4,8622.9,8962.6,9106.9,9301.1,9444.7,9542.3,9638.9,9806.7,9984.2,10185,10305,10403,10549,10648,10804,10932,11098,11245,11345,11438,11614,11790,11990,12111,12213,12361,12458,12621,12757,12949,13102,13203,13298,13483,13637,13851,13978,14080,14231,14328,14496,14624,14797,14951,15054,15151,15327,15508,15710,15843,15948,16097,16199,16366,16508,16708,16889,17044,17256,17400,17497,17594,17781,17971,18173,18395,18481
1129.7,1471.9,1640.9,1829.1,2031.7,2170.8,2262,2351.1,2578.9,2739.8,2911.5,3027.4,3156.3,3288.1,3409.2,3574,3704.6,3894.1,4027.7,4127.7,4210.5,4442.3,4584.2,4752.3,4861,4982.3,5103.3,5246.4,5379.4,5528.7,5701.1,5834.5,5934.8,6018.8,6234.5,6390.4,6568.4,6735.5,6846.1,6935.9,7152.4,7319.4,7502.7,7666.9,7781.7,7991.5,8195.3,8325.4,8422.1,8511,8694.5,9004.3,9188,9387.9,9516.6,9617.8,9705,9923.6,10074,10248,10355,10478,10595,10718,10877,11005,11180,11321,11422,11504,11732,11876,12060,12160,12289,12412,12529,12696,12833,13039,13178,13282,13363,13600,13727,13916,14032,14159,14282,14405,14567,14703,14892,15032,15132,15221,15441,15600,15782,15899,16023,16150,16276,16440,16579,16782,16942,17133,17339,17476,17575,17663,17899,18053,18249,18427,18570
