u,u,r,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,w,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,x,r,n,n,a,b,l,e,t,d,x,d,x
1002.2,1191.4,1381.5,1653,1819.5,1960.2,2192.5,2333.6,2433.8,2528,2711.1,2888.3,3093.2,3224,3328.6,3513.8,3649.8,3831,3973.2,4074.9,4174.5,4368.3,4547.2,4749.5,4874.2,4978,5142.3,5274.8,5469.7,5613.7,5710.8,5806.1,5997.4,6173.3,6364.5,6557.2,6634.8,6803.3,7012.2,7152.6,7251.5,7347.7,7529.1,7708.6,7903.5,8028.5,8130.3,8285.6,8382.8,8552.7,8678.9,8847.8,8988.5,9091.7,9185.9,9373.5,9556,9756.3,9880,9981.8,10136,10233,10394,10531,10711,10860,11017,11222,11366,11463,11559,11735,11914,12111,12240,12341,12493,12593,12753,12881,13058,13207,13306,13404,13580,13766,13956,14264,14421,14635,14782,14880,14974,15161,15350,15554,15686,15791,15943,16040
1045.2,1235.1,1464.1,1703.3,1864,2048.8,2263.6,2408.6,2507.6,2591.7,2823.5,2976.7,3155,3278.8,3400.9,3585.5,3721.2,3906.9,4051.1,4149.6,4239.5,4483.2,4638.8,4814.1,4928,5052.8,5219.2,5344.2,5551.3,5687.7,5784.5,5871.8,6116,6266,6435.7,6596.5,6725.2,6896.8,7093.6,7226.4,7331.1,7414.4,7648,7807.4,7972.1,8081.7,8201.4,8337.2,8456.7,8625.8,8751.5,8931.7,9067.4,9173,9258.4,9492.7,9647.5,9822.5,9932.8,10060,10185,10313,10471,10609,10761,10914,11106,11306,11440,11539,11624,11856,12006,12180,12299,12415,12548,12675,12829,12959,13146,13280,13384,13470,13696,13861,14028,14330,14518,14719,14855,14962,15050,15281,15448,15620,15745,15872,15997,16112
