u,u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,a,b,l,e,t,d
1005,1176.8,1363,1580,1800,1971.1,2300.9,2448.6,2684.5,2838.6,2940.7,3038.4,3236.8,3424.6,3635.8,3769.3,3874.7,4039.1,4179.6,4364.2,4515.2,4615.9,4715.8,4908.8,5088.4,5301.4,5430,5533.5,5688.5,5789.8,5955.9,6092.2,6273.8,6418.3,6522,6617.4,6796.4,6983.1,7181,7453.3,7554.1,7734.4,7922.1,8128.9,8261.9
1049.6,1218.8,1418,1631.4,1851.3,2049.3,2347.2,2551.2,2765,2913.7,3015.2,3103.2,3358.2,3516.8,3696.4,3819,3953.8,4124,4253.4,4440.9,4587.8,4693.6,4782.2,5019.8,5181.8,5361.1,5487.9,5615.4,5740.1,5866.1,6035.2,6167.4,6358.2,6495.6,6600.2,6686.7,6912.8,7075.7,7256,7530.5,7622,7860.4,8012.6,8194.1,8301.8
