u,u,r,n,n,a,b,l,e,t,d,x,s,r
1420.8,1588.8,1765.1,1987.8,2134.8,2229.1,2326.8,2499.8,2675.5,2869.3,2992.5,3097,3255.3,3403
1457.2,1632.9,1838.5,2067.9,2204.7,2305.9,2389.1,2616.3,2764,2933.8,3048.4,3178.2,3334.3,3478.6
