u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,x,r,n,n,a,b,l,e,t,d,x,d,x,s,r,w,u,r,n,n,a,b,l,e,r,u,r,n,n,a,b,l,e,t,d,x,d,x
1257.5,1409,1581.7,1785,1963.5,2187.5,2330.5,2434.2,2532.2,2724.4,2909.6,3111.6,3243.7,3350.1,3515.5,3660,3835,3986.8,4087.9,4187.3,4378.7,4566,4766.9,4898.9,5002.9,5167.4,5311.2,5497.1,5648.1,5747.4,5847.8,6041.1,6233.5,6435.2,6566.3,6672.2,6831,6932.5,7101.1,7237.8,7425.3,7573.4,7674.5,7774.8,7957.1,8140.1,8351.2,8491.1,8595.1,8749.8,8851.6,9017.2,9159.1,9337.2,9486.1,9589.2,9688.9,9880,10066,10268,10482,10570,10755,10978,11128,11230,11331,11508,11703,11910,12041,12150,12306,12411,12591,12733,12917,13075,13180,13282,13480,13670,13886,14214,14420,14641,14787,14888,14989,15182,15372,15590,15719,15826,15985,16083,16262,16402,16595,16728,16885,17111,17270,17374,17476,17678,17871,18080,18505,18668,18910,19069,19174,19277,19473,19663,19873,20000,20109,20269,20371
1293.1,1450.3,1623.6,1830.5,2045.5,2271.7,2406.7,2509.4,2598.3,2836.7,3000.1,3172.3,3294.1,3431.2,3595,3731.8,3915.8,4064.2,4165.9,4257.2,4502.9,4662.7,4832.7,4953.2,5079,5243.8,5388.9,5581.2,5722.4,5827.6,5917.3,6168.9,6330.8,6502.1,6620.9,6749,6878.8,7011.6,7177.1,7309.3,7513.2,7649.1,7753.5,7842.5,8076.9,8239.2,8424.9,8544.4,8674.2,8796.4,8932.6,9097.4,9239,9417.6,9565.1,9666.7,9754.6,10001,10158,10348,10522,10668,10851,11065,11202,11308,11399,11636,11798,11980,12096,12232,12363,12495,12670,12814,13003,13153,13257,13354,13596,13767,13972,14324,14513,14724,14862,14970,15061,15301,15473,15655,15776,15910,16042,16168,16341,16475,16640,16793,16978,17195,17347,17450,17542,17793,17963,18159,18574,18776,18997,19146,19250,19347,19593,19757,19945,20061,20189,20323,20438
