u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,w,u,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,u
1047.5,1570.2,1819.8,1971.2,2071.8,2184.6,2357.6,2536.7,2740.5,2875.7,2985.6,3148.2,3288.5,3466.5,3610.5,3711.8,3808.7,4003.7,4191.5,4397.1,4529.9,4636.2,4798.4,4942.5,5111.3,5263,5366.7,5464.2,5641.4,5822.7,6027.8,6160.2,6268.2,6424.9,6519.9,6685.2,6820,6991.3,7139.8,7237.9,7335.1,7521.8,7708.4,7908.8,8040.3,8143.2,8295.2,8395.2,8569.1,8708.8,8884.1,9032.5,9133.2,9227.7,9417.1,9608.6,9816.2,9944.9,10050,10204,10304,10464,10600,10774,10919,11018,11118,11307,11493,11696,11911,12060,12204,12420,12570,12669,12768,12961,13146,13360,13487,13592,13750,13850,14022,14160,14337,14510,14688,14923,15073,15174,15272,15462,15648,15852,16063,16165,16329,16553,16703,16806,16905,17092,17283,17495,17638,17743,17901,18003,18177,18325,18516,18675,18930
1087.7,1639.3,1889.2,2038.8,2138.8,2220.7,2456.8,2629.7,2796.8,2927.3,3064,3222.2,3357.8,3546.2,3688.5,3789.4,3876.7,4117.7,4288.2,4456.7,4585.3,4704.4,4873,5014,5193.1,5337.8,5438.6,5526.9,5760.7,5916.1,6092.1,6213.9,6341,6478.6,6592.6,6764.6,6896.2,7078.5,7212.1,7316.6,7397.9,7634.8,7801.5,7972.8,8091.9,8217.8,8346.5,8472.2,8640.7,8783.4,8967.4,9109.1,9208.2,9292.3,9536.5,9702.7,9882.2,10002,10133,10256,10383,10537,10677,10858,10994,11096,11186,11426,11587,11775,11946,12105,12300,12503,12646,12747,12833,13082,13239,13428,13542,13671,13801,13924,14095,14235,14385,14561,14776,15011,15149,15251,15338,15573,15743,15924,16094,16198,16426,16634,16778,16881,16971,17204,17378,17561,17691,17818,17951,18080,18249,18401,18597,18742,18986
