r,n,u,r,n,n,a,b,l,e,t,d,x,t,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,t,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,u,r
1102.4,1409.4,1584.4,1730.3,1960.1,2103.5,2201.9,2300.1,2493.1,2678.1,2886.7,3013.8,3124.4,3291.8,3434.6,3625.2,3774.2,3876,3973.8,4156.3,4341.7,4546.9,4677.4,4784.7,4937.8,5035.7,5198.3,5334.5,5512.8,5655.4,5756.3,5853.8,6034,6216.9,6417.2,6611,6697.2,6889.8,7099.2,7236.6,7338.5,7435.6,7621.9,7810.9,8014.4,8140.5,8244.4,8397.8,8497,8657.6,8795.6,8963,9111.1,9211.2,9309.2,9493,9683.7,9888,10094,10171,10353,10569,10714,10817,10918,11099,11285,11501,11624,11725,11879,11981,12147,12284,12457,12601,12702,12802,12980,13170,13380,13510,13617,13770,13870,14040,14184,14366,14521,14621,14720,14905,15094,15308,15447,15553,15712,15810,15982,16122,16311,16463,16562,16662,16855,17050,17252,17464,17547,17759,17912
1188.5,1468.7,1634.4,1821.5,2034.3,2175.8,2272.7,2367.4,2610.6,2774.1,2947.9,3069.1,3202.3,3363.5,3505.5,3705.9,3846.6,3951.3,4037.2,4280.4,4433.6,4610,4727.6,4863.6,4989.4,5112.7,5274.8,5407,5589.4,5730.3,5833.5,5921.3,6156,6310.8,6501.2,6642.6,6799,6976.8,7182,7315.2,7418.2,7502.5,7749.2,7904.5,8083.7,8191.8,8327.2,8449.3,8577.1,8734.6,8865.6,9048.9,9188.7,9287.4,9378.5,9620.1,9782.2,9970.6,10130,10274,10448,10655,10792,10899,10986,11218,11378,11569,11678,11803,11933,12063,12224,12362,12539,12675,12782,12868,13105,13271,13450,13569,13699,13823,13948,14120,14260,14452,14594,14701,14788,15032,15186,15380,15501,15631,15763,15891,16058,16203,16398,16538,16641,16730,16980,17143,17332,17496,17617,17810,18006
