u,r,n,n,a,b,l,e,t,u,u,r,n,n,a,b,l,e,t,d,x,d
1761.9,1968,2216.7,2360.7,2456,2552.5,2741.8,2930.2,3141.6,3431,3632.4,3789.7,3995.5,4138,4232.3,4326.6,4506.3,4687.4,4895,5026.7,5132.5,5290.9
1796.3,2052.8,2294.1,2432.1,2529.8,2618.7,2861.2,3017,3200.2,3478.8,3696.8,3884.3,4075.6,4208.7,4306.1,4395.6,4627,4778.8,4959.6,5075.9,5207.9,5345.2
