r,r,n,n,a,b,l,e,t,d,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,b,l,e,s,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e,s,d,x,d,x,s,r,w,u,r,u
1320,1754.5,1973.1,2121.4,2216.2,2308.5,2500.5,2685.2,2920.5,3094.2,3251,3401.1,3617.6,3757.9,3856.3,3952.5,4121.9,4304.8,4500.9,4622.9,4728.2,4876.4,4974.2,5125.7,5257.5,5424.2,5564,5663,5759.4,5930.4,6107.4,6313.8,6435.1,6537.6,6684.2,6783.7,6946.7,7072.5,7243.5,7388.6,7486.1,7580.4,7756.8,7938.5,8143.5,8267.7,8371,8521,8615.5,8775.4,8910,9080.6,9229.2,9325.4,9419.1,9594.1,9778.8,9977,10184,10257,10357,10528,10710,10909,11033,11137,11292,11388,11553,11689,11863,12013,12111,12207,12377,12567,12772,12904,13009,13163,13261,13427,13563,13752,13935,14089,14302,14454,14555,14654,14834,15017,15228,15443,15522,15719,15944,16092,16189,16285,16473,16658,16868,17007,17112,17259,17360,17523,17621,17779,17920,18103,18304,18459,18678,18827,18923,19017,19206,19390,19601,19737,19840,19996,20092,20264,20408,20637,20806,20966,21196
1383.5,1831.6,2051.5,2191.7,2290.4,2372.4,2613.9,2776.2,2976.4,3137.9,3299.1,3496.8,3698.4,3831.3,3931.8,4016,4250.7,4396.4,4563,4678.6,4797.5,4927.2,5055.5,5201.9,5336.8,5504.2,5638.2,5738,5823,6055.3,6195.1,6374.6,6486.3,6617.7,6739,6865.4,7021.9,7142.2,7330.8,7463.7,7557.9,7647.7,7880.8,8025.4,8207.9,8323.8,8449.7,8571.7,8691.4,8855.5,8982.9,9165.9,9302.4,9401.7,9485.5,9710.4,9872.4,10064,10216,10340,10426,10653,10794,10974,11092,11220,11345,11472,11630,11767,11952,12089,12192,12275,12499,12657,12841,12959,13089,13215,13341,13505,13632,13812,13983,14184,14389,14532,14635,14721,14958,15108,15305,15474,15593,15815,16026,16166,16267,16354,16590,16752,16933,17065,17192,17311,17436,17578,17700,17858,17996,18166,18354,18549,18760,18899,19002,19083,19326,19483,19668,19791,19915,20048,20172,20340,20487,20688,20862,21058,21242
