w,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,w,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,w,u,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e,r,w,u
1332.5,1542.4,1774.5,1973.7,2303.4,2459.9,2691,2840.7,2935.2,3028.8,3217.2,3403.8,3603.8,3738.2,3845.8,4008.1,4141.8,4326.5,4474.2,4577,4673.3,4857,5039.5,5239.3,5367.4,5472.8,5625.8,5722.6,5881.5,6014.4,6190.2,6334.3,6436,6534.7,6714,6891.3,7086.6,7293.2,7372.4,7473.2,7609.9,7810.3,7946.8,8041.9,8137.8,8308.6,8485.1,8689.3,8807.4,8908.6,9053.5,9148.7,9311,9448.4,9620.4,9763.9,9861.6,9960.3,10138,10321,10525,10650,10752,10902,11000,11170,11302,11489,11598,11761,11986,12149,12249,12348,12540,12733,12945,13070,13175,13325,13424,13594,13721,13901,14069,14230,14445,14589,14689,14785,14968,15146,15347,15559,15638,15807,16030,16181,16278,16375,16559,16739,16953,17083,17188,17342,17442,17604,17703,17874,18004,18172,18338,18492,18710,18860,18962,19058,19236,19428,19634,19848,19981
1374.8,1592.8,1825,2057.4,2351.5,2557.6,2770,2914.5,3012.2,3097.4,3326.9,3492.9,3673.3,3795.3,3921.3,4089.4,4221.4,4410.4,4548.2,4655.5,4744.9,4978.6,5131.2,5304.7,5424.2,5548.1,5675.6,5803.2,5954.7,6093.2,6271.3,6408.9,6512.5,6598.6,6827.4,6985.9,7170.4,7324,7424.7,7522.7,7694.5,7891.2,8019.1,8120.4,8206.7,8422.4,8582.6,8754.8,8860.2,8994.1,9103.1,9226.3,9386.2,9523.9,9705.8,9838.2,9940.1,10026,10259,10417,10599,10708,10834,10949,11076,11242,11377,11542,11661,11856,12073,12228,12327,12416,12660,12830,13017,13125,13254,13380,13503,13670,13796,13947,14127,14328,14528,14665,14764,14854,15083,15238,15423,15591,15719,15901,16117,16255,16356,16442,16672,16837,17020,17139,17270,17398,17519,17658,17783,17947,18082,18229,18398,18589,18798,18938,19039,19126,19360,19525,19715,19879,20017
