u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n
1427.1,1605.9,1749.3,1979.1,2131.7,2233.4,2332.4,2537.8,2741.3,2951.8,3113.5,3221,3387.6,3537.3,3731.5,3879.9,3982.8,4082.2,4275.2,4464.7,4675.3,4829.8,4938.9,5113.9,5268.6,5446.2,5607
1466.5,1647.6,1834.7,2067.7,2205.2,2311.4,2397.8,2643.3,2828.8,3009.2,3166.9,3296.6,3465.2,3610.5,3808,3958.9,4059.8,4152.2,4387,4561.6,4740.3,4885.6,5022.9,5190.6,5342.8,5532.1,5686.6
