u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,u,r,w,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,s,r,w,u,r,n,n,a,b,l,e,r,w,a,u,r
1166.9,1330.8,1620.3,1768,1980.2,2124.7,2225,2322,2506,2683,2889.8,3018.3,3118.8,3278,3417.6,3586.6,3727.1,3824.3,3921.2,4105.9,4289.3,4485.8,4614.7,4720.7,4874.4,4970.3,5130.9,5267.3,5455.5,5600.5,5702.2,5800.9,5976,6163.3,6361.7,6566.4,6641.1,6738.2,6918.4,7097.8,7290.1,7414.8,7518.5,7672.5,7770.2,7928.5,8059.3,8233.2,8375.4,8475.1,8572.1,8754.2,8943,9152.8,9284.7,9391.9,9544.7,9641.4,9798.8,9927.8,10105,10251,10349,10448,10636,10824,11023,11235,11309,11375,11504,11715,11984,12128,12335,12482,12580,12679,12855,13048,13250,13379,13481,13636,13733,13902,14031,14214,14364,14466,14566,14745,14939,15143,15273,15383,15542,15641,15812,15953,16132,16339,16488,16707,16864,16966,17063,17255,17446,17648,17872,17959,18206,18364
1218.2,1419.1,1672.3,1861.6,2056.8,2200.1,2294.1,2386.4,2620.7,2778,2946,3072.8,3192.4,3354.6,3496.5,3663.1,3800.5,3901.2,3988.7,4226.5,4380.7,4546.5,4666.8,4796.3,4928.4,5046.5,5200.4,5334.7,5534.8,5677.2,5778.1,5870.1,6099.4,6255,6442.1,6601.1,6715.7,6805.5,7043.2,7194,7357.8,7464,7595.7,7722.9,7845.8,8000.8,8127.7,8318.4,8447,8555,8639.9,8879.2,9040.8,9218.4,9337.5,9468,9593.1,9716.6,9872.2,10006,10192,10327,10431,10513,10758,10923,11099,11266,11357,11407,11591,11749,12033,12224,12417,12555,12657,12744,12984,13138,13317,13431,13559,13685,13816,13977,14106,14307,14440,14542,14639,14871,15038,15213,15335,15470,15596,15718,15887,16027,16169,16387,16582,16798,16939,17047,17134,17373,17540,17725,17904,18013,18254,18451
