u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,r,w,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,u,r,n,n,a,b,l,e,t,u,r,n,n,a,b,l,e,w,u,r,n,n,a,b,l,e,r,w,a,u,r,u,r
1056.7,1254.1,1563.9,1728.5,1976.6,2131.6,2235.3,2333.2,2535.6,2723.3,2933.7,3067.1,3172.3,3338.6,3475.2,3656.5,3802.9,3906.6,4003.6,4185.2,4370,4573.7,4702.5,4811.4,4968.2,5069.5,5237.2,5373.9,5549.8,5700.1,5801.6,5898.8,6084.7,6277,6491.7,6620.1,6727,6885.1,6983.7,7151.7,7292.9,7465.3,7607.4,7709.4,7808.8,7984.9,8174.2,8367.1,8571.9,8658.4,8846.9,9054.2,9200,9301.4,9398.1,9578.3,9772.3,9967.8,10175,10254,10352,10531,10716,10916,11041,11146,11302,11401,11559,11660,11825,11961,12136,12289,12391,12490,12685,12877,13086,13361,13489,13711,13858,13961,14060,14239,14431,14641,14870,15024,15245,15392,15492,15593,15786,15973,16172,16432,16584,16792,16939,17042,17142,17324,17517,17731,17951,18034,18238,18404,18817,18964
1102.7,1344.6,1611,1818.9,2051.1,2207.4,2310.8,2401.6,2653.9,2808.5,2993.9,3111.7,3248.8,3413.4,3553.8,3741.9,3881.4,3981.7,4070.9,4308.5,4460.3,4640.2,4757.7,4888.3,5020.1,5149,5315,5450.1,5638.7,5775.4,5876.6,5965.9,6212.6,6369.8,6559.5,6674.4,6804.1,6937.4,7060.2,7227.6,7365.9,7550.6,7683.1,7785.8,7875.3,8107.5,8262.8,8449.4,8607.1,8760.9,8939.7,9141.9,9274.2,9378.8,9470.9,9705.5,9862.2,10042,10206,10332,10418,10660,10808,10981,11100,11229,11350,11478,11612,11740,11903,12038,12231,12369,12470,12559,12805,12970,13161,13397,13581,13798,13934,14043,14127,14360,14525,14706,14925,15121,15333,15466,15570,15661,15905,16071,16216,16486,16679,16878,17016,17121,17214,17449,17620,17807,17989,18080,18292,18494,18866,19055
