u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,x,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,a,u,r,n,n,a,b,l,e,a
1001.5,1176.2,1356.7,1643.6,1775.1,1980.4,2123.4,2224.9,2322.3,2505.4,2689.1,2888.4,3016.4,3120.2,3288.3,3424,3589.7,3740.9,3841.7,3942.2,4120.3,4308,4515.2,4643.5,4749.7,4907.5,5004.9,5170.4,5310.4,5481.9,5623.4,5726.7,5824.5,6011.7,6200.1,6386.5,6658.9,6846.6,7046.7,7187.7,7287.5,7388.6,7563,7749.5,7952.9,8077.4,8180,8336.6,8433.3,8592.6,8724.2,8894.3,9039.7,9145.8,9245.2,9426.3,9610.3,9816.8,10121,10280,10423,10641,10782,10884,10984,11172,11353,11559
1044.3,1222.3,1433.4,1685.6,1859.2,2058.7,2199.8,2298.1,2389.2,2627.1,2776.5,2946.4,3072.9,3204.2,3365.9,3496.6,3679.1,3817.1,3918.2,4006.9,4241.2,4397.6,4580.3,4692.5,4824.2,4954.7,5077.1,5246.6,5385.2,5566.2,5700.2,5802.6,5890.6,6129.2,6291.2,6456.8,6769.7,6943.4,7130.4,7263.7,7366.3,7451.4,7683.1,7841.5,8019.6,8129.4,8255.9,8381.9,8515.8,8666.7,8798.3,8981.8,9115.7,9226.6,9313.6,9547.8,9708.1,9894.5,10161,10336,10514,10723,10860,10963,11051,11295,11446,11631
