u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1096.9,1236,1403.7,1589,1758.8,1973.2,2125.3,2223,2319.2,2507.5,2694.5,2898.9,3028.6,3129.7,3290.6,3423.7,3593.6,3735.6,3835,3929.1,4106.2,4289.1,4489.3,4615,4718.8,4872,4969.8,5132.9,5265.3,5434.7,5576.2,5675.6,5772.4,5955.2,6138,6341.2,6467.9,6568.9,6715.7,6818.2,6973.8,7108.2,7279.9,7423.2,7524.2,7622.2,7799.2,7980,8176,8299.9,8401.2,8552.1,8650.4,8814.8,8947.3,9114.5,9255.3,9354.2,9452.1,9625,9810.3,10011,10217,10295,10498,10705,10849,10947,11049,11226,11409,11625,11749,11851,12006,12104,12265,12398,12565,12705,12806,12905,13092,13275,13473,13693,13778,13965,14182,14328,14431,14527,14716,14897,15100,15227,15331,15487,15589,15758,15895,16080,16230,16330,16425,16610,16801,17009,17137,17244,17401,17500,17675,17815,17995,18127,18294,18511,18658,18758,18858,19051,19234,19457,19595,19703,19863,19966,20142,20284
1128,1289.6,1458.3,1636.2,1838.1,2051.3,2196.5,2294.4,2381.3,2618.6,2785.7,2956.6,3079.3,3204.4,3369.8,3499.4,3677.2,3810.8,3909.9,3992.6,4225.8,4378.6,4550.1,4665.8,4790,4915.8,5045.9,5204.2,5335.8,5517.3,5650.9,5752.9,5839.8,6074.6,6229.5,6407.3,6522.2,6649.8,6769.7,6896.2,7048.8,7178.8,7361.9,7498.6,7601.1,7691.2,7925.6,8072,8240.8,8353.5,8473.8,8603.3,8727.6,8888.9,9025.3,9196.1,9330,9435.7,9521,9751.3,9904.2,10093,10253,10412,10599,10797,10926,11027,11116,11350,11501,11689,11804,11930,12062,12184,12345,12477,12648,12781,12883,12973,13216,13369,13549,13727,13871,14060,14268,14407,14508,14592,14833,14989,15166,15278,15408,15539,15662,15834,15983,16165,16307,16407,16499,16732,16898,17075,17190,17322,17455,17576,17748,17889,18070,18186,18386,18596,18733,18838,18925,19169,19330,19527,19652,19786,19914,20042,20217,20360
