u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e
1121.2,1329,1575.7,1745.2,1989.8,2145.7,2244.6,2341.5,2543.4,2732,2941.8,3074.7,3179.7,3346.7,3494,3682.9,3836.8,3938.8,4036.7,4230.5,4421.2
1174,1380,1624.3,1820.6,2069.2,2219.4,2318.7,2408.1,2657.3,2821.2,2999.4,3126.8,3253.5,3422.5,3574.7,3763.1,3913.2,4019.8,4104.7,4351.8,4511.9
