r,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1099.5,1422.6,1594.5,1751.7,1975.2,2120.2,2215.3,2309.6,2497,2682,2880.6,3006.9,3113,3271.8,3401.9,3571.4,3715.6,3815.6,3910.7,4100,4280.9,4480,4602.2,4702.6,4854.5,4949.4,5103.8,5242.3,5415.8,5555.2,5653.5,5751.2,5923.8,6102.7,6303.9,6430,6532,6682.1,6781.9,6943.7
1187.7,1465.6,1648.6,1831.5,2058.5,2191.2,2290.2,2382.8,2615.4,2780.6,2945,3063,3189.1,3351.2,3479.9,3648.8,3792.9,3891.8,3978.5,4225.2,4370.3,4546.6,4656.6,4783.2,4906.7,5024.9,5183.6,5316.1,5496.9,5627.2,5729.5,5817.6,6049.3,6194.2,6372.7,6486.2,6609.6,6736.1,6858.5,7022.7
