u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,s,r,w
2344.9,2575,2743.5,2974.2,3126.1,3227,3323.8,3509.7,3695,3893,4021.9,4127.4,4288.9,4430.7,4599.1,4739.6,4836,4935.8,5115.1,5297,5500.5,5634.8,5740.8,5901.7,5999.7,6169.8,6305.2,6477.3,6625.3,6726.8,6824.3,7016.5,7207.1,7397.9,7605,7687,7889.7,8104.6,8250.3,8352.1,8451.2,8640.7,8823.9,9027.3,9156,9258.2,9415.8,9512.4,9684.1,9822.9,10007,10158,10259,10360,10538,10727,10943,11080,11186,11347,11453,11627,11764,11953
2389.3,2625.3,2833.2,3050.7,3203.5,3304.9,3385.7,3626.6,3787.1,3956,4078.2,4203.4,4367.2,4509.2,4684.8,4813.4,4913.5,5004.2,5232.1,5390,5566.2,5688.8,5822.8,5956.4,6081.7,6246.2,6382.8,6560.7,6699.8,6803.7,6896.2,7144,7301,7476.6,7640.7,7805.2,7993.2,8190.4,8327.9,8433.1,8522.9,8763.5,8913,9092.1,9207.1,9341.5,9471.3,9587.6,9757.6,9900.3,10087,10234,10341,10433,10661,10823,11013,11134,11264,11402,11535,11704,11838,11995
