r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,x,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,b,l,e,t,d,x,d,x,s,r,w
1571.8,1801.9,1954.6,2054.6,2149.5,2326.8,2506.9,2712,2838.2,2937.2,3086,3184.9,3343.4,3477.4,3653.1,3796,3896.7,3993,4181.2,4361.5,4568.9,4695.5,4797.5,4945,5042.6,5202.1,5339.3,5508.9,5658.9,5758.4,5856.7,6037.9,6215.6,6412.2,6620.8,6699,6871.2,7076.1,7216.3,7314.7,7412,7583,7770.3,7973.3,8094.6,8198.8,8349.1,8446.3,8616.2,8758.8,8928.4,9083.4,9186.3,9283.5,9458.4,9643.8,9855.8,9980.5,10082,10234,10334,10503,10650,10814,10958,11060,11158,11338,11530,11738,11866,11971,12124,12225,12399,12536,12713,12861,12964,13058,13245,13431,13630,13916,14100,14338,14487,14586,14684,14878,15069,15279,15407,15507,15654,15756,15937,16075,16245,16398,16501,16599,16786,16975,17183,17389,17474,17573,17770,17962,18182,18318,18424,18583,18687,18856,18994,19190
1653.9,1880.3,2024.3,2121.5,2207.7,2436.5,2598.6,2770.7,2884.6,3003.3,3129.8,3256.8,3415.1,3541.3,3736.1,3868.6,3971.2,4058.1,4294,4444.3,4633,4741.6,4868.9,4991.3,5112.8,5275.1,5408.5,5592.2,5728.5,5835.8,5917.5,6147.3,6309,6488.8,6652.9,6786.3,6960.3,7162.3,7285.8,7387.4,7471.8,7699,7862.2,8038.9,8148.2,8261,8391.3,8521.8,8691.4,8830.8,9013.5,9160.6,9260.2,9349,9574.4,9732.3,9920.8,10028,10153,10283,10408,10573,10716,10898,11034,11140,11224,11448,11621,11801,11918,12047,12174,12298,12478,12616,12801,12936,13042,13126,13360,13524,13708,13987,14195,14422,14560,14665,14750,14989,15161,15344,15453,15576,15713,15832,16011,16151,16325,16472,16581,16665,16909,17066,17258,17428,17557,17642,17884,18055,18247,18368,18500,18637,18760,18935,19074,19237
