w,w,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,b,l,e,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,x,r,n,n,a,b,l,e,r,w,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r
1001.4,1257.2,1429.4,1606.5,1800.5,1960.7,2191.4,2335.9,2437.9,2536.1,2718.1,2902.1,3106.1,3236.6,3341.3,3505.7,3643.7,3820.7,3970.7,4069.7,4165.3,4351.1,4534.5,4739.4,4865.4,4971.5,5131.4,5226.8,5393.7,5530.7,5702.9,5843.6,5944.6,6041.5,6218.7,6400.9,6592.2,6790.5,6871.2,6969.8,7147.5,7331,7535.7,7660.9,7763.4,7917.2,8019,8183.3,8323.8,8499.9,8641.5,8741.6,8839.5,9021.3,9210.1,9410,9603,9682.7,9786.2,9966.6,10151,10348,10547,10630,10810,11010,11147,11248,11346,11523,11710,11915,12043,12146,12294,12392,12557,12696,12881,13033,13135,13235,13417,13603,13801,13998,14101,14286,14499,14649,14752,14849,15047,15234,15435,15648,15731,15828,16020,16208,16413,16541,16642,16796,16896,17070,17206,17386,17548,17648,17748,17939,18133,18336
1032.8,1306.3,1476.7,1657,1851.7,2048.6,2267.7,2411.3,2511.6,2597.2,2836.8,2996.2,3168.2,3290.1,3421,3584.6,3714.7,3908.8,4043.3,4143.2,4234.7,4477.6,4626,4803.5,4922.8,5049.6,5183.2,5305.6,5470.7,5606,5785.6,5919.1,6020.9,6109.2,6344.9,6494.2,6674.2,6827.8,6949.1,7040.1,7273.8,7419.2,7602.1,7715.7,7844.3,7971.5,8098.3,8261.4,8399.6,8579.6,8714.7,8822.1,8908.2,9147.6,9300.9,9486.2,9642.6,9756.8,9855.2,10095,10244,10426,10581,10726,10904,11098,11222,11325,11416,11648,11810,11986,12098,12225,12351,12469,12638,12774,12971,13110,13213,13303,13539,13697,13881,14033,14193,14387,14587,14729,14830,14919,15167,15331,15513,15689,15806,15896,16145,16301,16485,16598,16729,16851,16980,17144,17281,17473,17621,17728,17814,18065,18224,18415
