r,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r,n,n,a,b,l,e,r,w,a,b,l,e,l,r,w,a,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,r
1019.8,1410.4,1570.5,1724.9,1953.2,2094.2,2194.8,2288.3,2472.6,2656.9,2861.6,2990.4,3099.8,3268,3409.2,3586.2,3733.1,3831.9,3930.6,4121.5,4305.7,4511.2,4635.1,4739.7,4900.4,4996.1,5158.5,5290.2,5474.8,5623.4,5724.3,5821.3,5995.3,6177.3,6380.2,6506.5,6609.7,6759.8,6857.2,7022.3,7153.8,7328.3,7465.6,7565.4,7663.6,7844.6,8029.8,8227.6,8354.6,8455.9,8610.8,8710.4,8875,9009.8,9178,9319.5,9421.1,9520.4,9702,9887.1,10093,10282,10365,10545,10765,10909,11008,11106,11280,11467,11665,11864,11940,12032,12216,12397,12618,12738,12946,13027,13232,13456,13608,13707,13802,14000,14191,14397,14522,14632,14779,14877,15050,15191,15382,15528,15626,15726,15905,16097,16303,16439,16545,16699,16797,16965,17103,17288,17447,17548,17646,17840,18035,18247,18391,18500,18663,18763,18946,19090,19278,19435,19537,19633,19828,20023,20239,20463,20555,20742
1095.8,1448.9,1625.7,1806.8,2026.3,2167.6,2268.9,2355.9,2581,2746.2,2920.4,3042,3176.9,3344.4,3485.7,3663,3806.4,3911.1,3991.6,4246.2,4395.6,4571.5,4691.4,4819.5,4947.3,5075.3,5234.7,5364.7,5563.7,5698.9,5800.1,5889,6123.5,6263.7,6449,6563.5,6688.3,6806.2,6938.7,7097.7,7223.7,7407.5,7541.8,7644.1,7728.6,7966.8,8126.7,8298,8408.5,8537.8,8662.8,8782.8,8952.6,9090.8,9261.8,9396.8,9501.2,9587.9,9828.3,9982.8,10171,10316,10465,10634,10851,10981,11089,11174,11403,11570,11744,11903,12017,12103,12339,12492,12677,12812,12981,13137,13330,13546,13684,13783,13874,14122,14285,14464,14575,14713,14833,14956,15130,15272,15474,15603,15708,15790,16020,16195,16375,16496,16623,16753,16878,17041,17177,17380,17524,17632,17717,17970,18130,18319,18447,18581,18718,18850,19026,19170,19366,19512,19617,19705,19946,20118,20318,20497,20626,20842
