r,u,r,n,n,a,b,l,e,t,d,x,s,d,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,w,a,b,l,e,t,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e,r,n,a,b,l,w,s,d,x,d,x,s,r,n,n,a,b,l,e,r,w,a,b,l,e,r,a,u,r,w,u,r,n,n,a,b,l,e,t,d,x,d,x,s
1091.9,1596.8,1741.6,1957.3,2097.8,2199.8,2298,2489.9,2671.6,2869.2,2996.6,3100.1,3262.3,3443,3575.5,3714.9,3817.7,3914.4,4107.6,4282.2,4484.4,4617.6,4722.6,4886.7,5023.2,5188.6,5337.2,5439.4,5534.4,5717.5,5898.6,6097.8,6294.6,6375.5,6475.2,6651.7,6830,7033.1,7160.1,7265.2,7420.1,7515.7,7679.6,7812.4,7983.7,8146.5,8282.3,8490.6,8637.8,8733.6,8834.6,9010.5,9189.8,9385.9,9595.3,9674.9,9774,9985.7,10176,10385,10507,10615,10774,10872,11038,11171,11339,11487,11587,11687,11870,12057,12257,12462,12542,12640,12836,13027,13237,13547,13633,13776,14194,14410,14559,14766,14919,15020,15122,15305,15493,15704,15833,15936,16091,16190,16399
1166.6,1647.2,1834.2,2032.4,2175.4,2274.8,2363.2,2605.4,2761,2929.8,3048.1,3170.2,3330.8,3478.4,3657.3,3791.8,3892.3,3974.5,4223.4,4373.4,4544.2,4671.8,4793.4,4962.6,5100.3,5270.2,5413.1,5513.3,5600.3,5841.8,5995.1,6168.6,6332.2,6447.4,6535.6,6770.8,6918.7,7098.5,7218.9,7336.8,7470.1,7587.1,7755.6,7885.2,8055.8,8200.1,8372.5,8580.1,8715.1,8811.7,8902.2,9134.6,9288.8,9465.2,9633.1,9751,9839,10102,10225,10443,10566,10696,10826,10946,11117,11248,11424,11565,11664,11757,11991,12151,12334,12494,12621,12706,12950,13120,13322,13580,13685,13868,14233,14456,14641,14856,14998,15103,15186,15423,15583,15769,15885,16008,16142,16262,16470
