l,i,i,i,f,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1979.2,2123.1,2447.4,2753.2,2987.3,3162.8,3296.7,3390.7,3535.4,3697.4,3849.7,3963,4067,4161.7,4242.2,4341.6,4411.3,4524.8,4665.9,4779.2,4883.9,4976.9,5057.7,5160.2,5228,5342.5,5762.8,5918.7,6009.5,6155.6,6318.8,6481.7,6598.8,6704.8,6800.5,6881.7,6983.1,7054.3,7167.2,7353.1,7473.5,7581.8,7675.7,7758.5,7859,7928.8,8046.9,8462.4,8662.2,8769.8,8922.4,9087.3,9253.2,9371.2,9479.3,9575.9,9657.8,9760.1,9830.8,9946.9,10146,10264,10372,10469,10551,10655,10728,10842,11184,11383,11476,11631,11793,11965,12085,12192,12288,12370,12473,12544,12662,13129,13339,13469,13756,13880,14124,14224,14374,14540,14730,14849,14957,15053,15138,15241,15312,15430
2010.4,2167.8,2492.6,2799.2,3059.9,3210.3,3333.4,3450.3,3646,3777.8,3923.8,4030.1,4123.8,4213,4296.1,4397.7,4464.8,4601,4738.7,4851.2,4942.7,5032.3,5113.2,5218.2,5283.3,5422.6,5810.6,5954.8,6068,6263.4,6394.8,6555.5,6667.6,6762.2,6855.5,6932.4,7038.2,7105.2,7247,7426.4,7542.9,7639.3,7729.2,7812.7,7916.1,7982.1,8118.5,8505.7,8698,8834.2,9030.3,9165.8,9327.6,9447.3,9540,9631.7,9712.9,9814.9,9884.1,10021,10222,10334,10430,10521,10599,10710,10775,10913,11228,11415,11535,11736,11871,12037,12158,12253,12344,12422,12528,12594,12733,13173,13375,13518,13787,13928,14159,14256,14488,14612,14802,14919,15014,15107,15192,15296,15368,15500
