l,l,l,l,i,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i
4733.6,4859.7,5232.8,5484.8,5643.1,6196.5,6377.3,6492.3,6625.7,6795.2,6984,7103.3,7210.8,7307.9,7388.2,7490.8,7560.4,7673.9,8315.8,8445.8,8627.8,8767.4,9018.3,9120.6,9256.2,9429.3,9615,9730.1,9839.2,9934.2,10017,10129,10190,10307,10840,10961,11134,11233,11303,11416,11592,11709,11819,11914,11996,12097,12169,12283,12631
4767.2,4897.6,5266,5521.9,5691.9,6243.3,6411.5,6550.5,6739.5,6871.7,7053.3,7174.2,7273,7361.4,7443.5,7554.7,7614.6,7752.2,8349.2,8492.8,8662.6,8816.9,9053.9,9181.5,9376.5,9509.2,9684.6,9803.4,9899.8,9990.5,10070,10177,10242,10386,10876,11009,11186,11290,11357,11496,11664,11780,11878,11971,12051,12159,12224,12364,12676
