l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1982,2196.9,2377.8,2591.4,2746.1,2946.1,3078.8,3290,3440.1,3682.7,3815.2,4004.2,4115.8,4248.1,4428.9,4605.7,4721.6,4827.3,4923,5005.5,5107.9,5179.7,5295.8,5472.4,5591.4,5699.1,5795.8,5878.9,5980.7,6050.6,6167.8,6542.9,6718.8,6821.2,6959.4,7140.2,7317.7,7435,7543.2,7638.4,7721,7824.3,7894.9,8010.1,8367.8,8571.6,8671.2,8823,8993.2,9169.7,9287.3,9395.5,9492,9574.3,9676.3,9751.9,9864.9,10331,10457,10678,10774,10924,11093,11272,11389,11497,11593,11677,11781,11852,11970
2013.5,2232.6,2424.1,2626.7,2790.8,2979.7,3125,3325.6,3493.4,3719.5,3863.1,4040.4,4173.3,4375,4502.3,4677.4,4791.5,4887.9,4978.4,5060.5,5165.6,5230.2,5374.2,5549.4,5664.9,5754.9,5847.3,5928.8,6035,6100.2,6239,6588.5,6753.6,6880.3,7082.1,7215.3,7389.9,7504.8,7602.7,7690.9,7771.1,7880.9,7949,8089.8,8414.1,8606.5,8701.7,8934.9,9065.3,9243.7,9358,9453.6,9545.8,9625.3,9733.8,9799.1,9937.9,10362,10505,10709,10836,11033,11165,11345,11460,11558,11646,11727,11837,11906,12046
