l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
2814.8,2959.8,3179.6,3363.2,3537.2,3649.7,3783,3954.4,4133.5,4248.8,4354.2,4425,4536.5,4715.9,4832.4,4935.9,5030.4,5111.1,5210.3,5280,5392.6,5840.2,5950.2,6087.3,6262,6440.7,6553.3,6658.7,6755.1,6835.6,6939.4,7007.8,7124.6,7963.5,8086.7,8269,8364.6,8499,8679.2,8846.6,8961.3,9068.4,9138.7,9251.1,9421.8,9534.8,9643.4,9738.4,9818.5,9919.6,9988.3,10106,10284,10404,10512,10606,10688,10791,10861,10978,11306,11449,11546,11675,11857,12020,12140,12249,12345,12426,12529,12599,12715,13286,13405,13625,13752,13895,14071,14243,14369,14477,14572,14653,14756,14825,14943,15136,15256,15364,15462,15547,15650,15719,15840
2849.3,3006.5,3216.6,3408.6,3574.6,3710.2,3908.3,4035.8,4206.5,4317.2,4417.2,4483.9,4624.2,4788.2,4899.2,4997.4,5086.8,5167.2,5268.9,5335.8,5475.2,5873.4,6014,6208.2,6341.6,6511.3,6624.1,6720.5,6811.5,6891.1,6997.8,7063.6,7202.2,7997.4,8135.3,8303.4,8441.7,8626.1,8759,8919.9,9029.1,9129.4,9191.8,9329.9,9494.5,9607.1,9704.1,9794.2,9872.6,9978.4,10045,10187,10360,10475,10575,10661,10742,10850,10917,11060,11359,11489,11621,11803,11937,12091,12211,12310,12402,12483,12594,12656,12794,13322,13457,13670,13819,14018,14151,14316,14441,14538,14629,14711,14819,14881,15025,15207,15328,15428,15518,15604,15713,15777,15918
