l,i,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r
690.5,873.84,1434.1,1571.3,1675,1832.1,1985.7,2125.9,2241.3,2347.3,2441.6,2523.6,2623.6,2692,2808.7,2995,3092.9,3246.3,3412.8,3555.2,3672.2,3778.5,3874.9,3955.5,4057.1,4127.4,4241.7
762.24,913.7,1493.5,1615.2,1723.8,1917,2052.9,2195.8,2310.4,2405.2,2493.8,2572.9,2677.6,2739.3,2878.8,3026.9,3150.8,3348.3,3488.5,3625.1,3741.4,3839.9,3926,4006.8,4111.4,4177.9,4315.2
