l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1991.9,2154.1,2315.2,2528.1,2692.8,2871.6,3003.8,3470,3588.1,3763,3894,4033.4,4136.6,4269.4,4453,4618.3,4734.1,4842.3,4939.3,5019.5,5123.1,5194.3,5305.9,5633,5854.3,5954.9,6090.7,6275,6450.2,6563.3,6673.2,6769.1,6851.7,6953.8,7023.7,7141.3,7438.5,7619,7719,7868.9,8038.2,8210.4,8326.5,8434,8531.6,8613.9,8718.1,8788.5,8906.7,9345.9,9496.6,9594.9,9728.3,9917.1,10056,10176,10285,10380,10463,10567,10637,10754,10954,11075,11182,11279,11362,11465,11537,11655
2025.4,2190.3,2359,2563.2,2739.3,2909.1,3051.9,3507.5,3634.8,3801.4,3942.6,4070.3,4204,4398.9,4528.8,4687.5,4801.9,4903,4992.2,5074.2,5183.4,5248.5,5388.4,5683.8,5893.4,6023.1,6221.5,6356,6518.3,6634,6734.8,6824.7,6906.4,7013.3,7077.3,7221.5,7483.9,7664,7786.6,7983.5,8118.3,8280.7,8398,8496.2,8586.2,8671.4,8780.6,8844.6,8987.4,9396.7,9537.3,9667.3,9863.3,9996.4,10129,10247,10346,10437,10519,10629,10693,10836,11025,11146,11244,11336,11416,11525,11593,11738
