l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l
1993,2128.2,2309.3,2452.1,2654.4,2790.9,2996.8,3119.8,3331.3,3454.2,3598.7,3702.2,3835,4012.6,4206.4,4326.6,4435.8,4534.5,4618.2,4722.9,4793.7,4911.6,5872.1,6003.2,6181.9,6307.8,6588.3,6720.9,6935.1,7042.8,7185.9,7356.8,7537.2,7662,7769.4,7866.8,7950.9,8055.1,8126.9,8246.8,8612.7,8823.3,8931.8,9077.1,9252.9,9439.2,9558.5,9668.5,9766.6,9850.7,9954,10026,10135,10331,10449,10560,10659,10742,10846,10918,11036,12068
2023.2,2175.3,2343.8,2500.4,2691.3,2839.7,3031.6,3169.8,3365.3,3504.5,3637.7,3762.8,3957.6,4087.2,4281.2,4397.9,4494.7,4587,4669.9,4779,4846.8,4983.2,5903.9,6050.2,6218.3,6356.5,6624.1,6767.9,6971.8,7101.8,7298.5,7437.2,7608.4,7734.8,7829.1,7920,8006.6,8111.7,8180.5,8318.8,8656.7,8858.5,8990.9,9192.6,9326.6,9511.2,9629.4,9727,9820.4,9901.2,10010,10082,10221,10403,10522,10622,10711,10798,10903,10974,11111,12100
