l,i,l,i,f,a,b,r,l,i,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,w,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r
1637.2,1774.3,1986.8,2117.1,2310.8,2409.4,2481.7,2594.9,2977.6,3093,3378.9,3517.5,3602.4,3757.4,3923.6,4065,4180.7,4286.8,4382.1,4462.8,4564.1,4636.5,4752.6,5230.8,5454.8,5704.6,5868.1,6009.3,6136.8,6242.4,6337.3,6419.1,6521.5,6594,6709.9,7220,7322.3,7467.9,7643.8,7815.5,7935.1,8043.1,8139.1,8220.6,8323.4,8397.8,8509
1678.3,1813.1,2025.6,2162,2356,2463.3,2529.2,2661.2,3010.1,3140.2,3426.1,3548,3682.4,3859.3,3989.5,4133.8,4248.2,4342,4431.2,4511.3,4617.8,4677.5,4820.7,5275.1,5485,5805.1,5939.3,6079.4,6204.2,6300.4,6389,6465.6,6577.1,6639.8,6777,7251.3,7378.7,7581.2,7714.2,7891.1,8005.8,8101.3,8191.7,8271.9,8381.6,8448.2,8584.8
