l,l,l,i,l,i,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1827.8,1987.7,2173.6,2330.8,2560.5,2694.4,3017.9,3187.3,3284.8,3418.8,3593.4,3765.6,3882.3,3989.2,4060.4,4175,4347.2,4468.3,4572.7,4646,4765,5180.3,5352,5456,5606.2,5770.4,5954.2,6074.9,6184.4,6282.2,6365.2,6469.4,6540.5,6658,7296,7482.4,7587.6,7737.5,7900.1,8078.2,8206,8312.5,8410,8493.2,8595.8,8666.8,8785.4,9213.1,9343.4,9571,9687,9848.9,9947.9,10104,10273,10443,10564,10673,10769,10851,10953,11026,11144
1864.3,2021.2,2207.3,2375,2596.4,2739.6,3071.3,3222.3,3340.6,3541.3,3667.7,3838.3,3951.2,4044.8,4113.8,4251.1,4422.1,4537.8,4629.5,4701.8,4839.8,5223,5389.5,5512.8,5714.5,5847.5,6029.6,6148.8,6244.8,6336.3,6419.2,6525.4,6595.1,6733.6,7343.4,7517.5,7654.2,7845.5,7974.6,8149.3,8276.2,8373.3,8465.2,8549.9,8653,8723.1,8860.4,9249.5,9392.6,9608.5,9745.2,9884.8,10007,10214,10344,10516,10635,10731,10824,10905,11012,11082,11217
