l,l,l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w
1064.7,1987.8,2126.2,2277.1,2418.8,2631.3,2769.7,3050.2,3176.5,3384.2,3503.1,3713.4,3832.5,3973.2,4137,4335.7,4449.5,4556.6,4651.1,4732.2,4834.5,4904.1,5018.9,5521,5694.8,5792.2,5936.8,6103.1,6287.5,6402.2,6510.5,6606.9,6689.7,6790.9,6864.8,6976.1,7349.3,7519.2,7617.4,7771,7938.8,8113,8230.5,8340.5,8435.5,8517.5,8619.1,8687.8,8806.1,9248.3,9373.9,9582.4,9682.6,9834,9999.8,10176,10292,10400,10498,10580,10683,10754,10871,11349,11525,11623,11773
1104.2,2022,2158.5,2309.6,2464.1,2663.8,2814.7,3082.6,3221.7,3417.1,3550.2,3747.4,3892.1,4082,4215.3,4407.2,4517.8,4616.5,4701.4,4786.3,4889.8,4958,5100.9,5565.1,5729.8,5850.3,6045.9,6177.2,6359.8,6474.2,6566.9,6661,6740.3,6847.8,6914,7049.5,7393.5,7558.5,7676.7,7879.6,8017.2,8188.1,8302,8397.9,8488.8,8572.3,8675.1,8742.4,8879.2,9282.7,9421.3,9618.2,9749.4,9945.5,10081,10246,10363,10461,10552,10636,10740,10809,10947,11393,11555,11679,11885
