l,i,l,i,l,i,i,l,i,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1995.4,2145.1,2351.4,2494.2,2716.4,2843,3158.7,3356.7,3483.1,3658.1,3781.6,3889.1,3986.1,4065.5,4168.9,4237,4354.2,4792.7,4925.1,5101.3,5206.1,5335.3,5518.2,5695,5815.2,5920.4,6016.5,6098.4,6199.2,6269.2,6386.7,6864.4,7019.2,7127.7,7260.8,7440,7609.1,7731.9,7837.8,7934.6,8016,8118.5,8188.1,8305.4,8508.3,8626.6,8736,8831.4,8914.4,9017.3,9086.8,9203.8
2033.1,2188.7,2386.4,2541.6,2750,2892.6,3206,3397.5,3535.1,3729.7,3854.5,3950.2,4042.5,4120,4227.6,4294.7,4435.5,4833.6,4979.6,5141.9,5283.1,5464.5,5599.2,5767.8,5885.7,5983.4,6074.1,6155.2,6259,6325.8,6464.2,6916.1,7057.6,7193.6,7384.8,7520.5,7680.2,7804.4,7901.5,7990.2,8072.5,8177.4,8246.8,8387.3,8579.5,8698.3,8797.6,8887.7,8968.6,9079.2,9144.7,9285.9
