l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1986.8,2115.5,2290.8,2409.6,2556.4,2736.2,2906.3,3024.7,3133.1,3229.9,3312,3416.6,3485.7,3603,3802.9,3925.5,4033.8,4131.6,4215.9,4318.5,4391.7,4509.7,4992.6,5128,5320.1,5423.4,5562.3,5739.4,5934.2,6058.8,6167.8,6265.6,6348.5,6454.2,6525.8,6643.7
2020.8,2165,2327.2,2467.6,2681.7,2811.3,2978.5,3098.6,3193.2,3285.9,3368.7,3472.9,3540.8,3682.8,3876.5,3999,4094.3,4186.3,4267.6,4376.1,4441.9,4582.3,5026.7,5175.8,5357.7,5481.9,5683.5,5814.5,6006.6,6130.2,6228.2,6320.1,6401.1,6511.2,6581.4,6720.2
