l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1995.2,2129.6,2328.8,2448.5,2634.6,2741.2,2879,3049.8,3209.2,3324.7,3434.1,3529.7,3611,3713.5,3786.5,3898.6,4397.5,4521.3,4664.8,4774,4938.8,5036.1,5107,5222,5677,5823.8,5926.7,6078.8,6239.4,6411.6,6528.3,6635.1,6731,6814.2,6917.5,6988.1,7106.5,7321.1,7438,7548.1,7644.7,7727.9,7830.4,7902.6,8019.8
2028.5,2176.2,2368.8,2503.8,2670.9,2799.3,2993.9,3124.1,3283.5,3398.3,3494.5,3582.9,3662.6,3769.9,3836.2,3974,4431.6,4570.5,4701.3,4833.1,4986.9,5091.4,5160.2,5296.1,5722.8,5858.7,5984.8,6182.7,6313.1,6482.1,6601.4,6696.5,6785.1,6863,6974.1,7040.6,7179.3,7394.2,7513.6,7607.8,7697.6,7780.3,7888.5,7954,8100.4
