l,l,i,l,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1988,2126.5,2281.5,2506.6,2623.8,2825.7,2938.2,3090.1,3197.4,3262.5,3374.8,3678,3824.5,3930,4057.4,4237.2,4401,4516.8,4623.6,4720.8,4802,4902.8,4972.7,5089.8,5594.5,5760.7,5856.6,5992,6182.6,6362.5,6480,6587.1,6682.4,6766,6869.2,6939.6,7056.6,7385.2,7568.4,7664.2,7811.5,7979.9,8127.9,8244.6,8355.2,8450.9,8533.3,8638.6,8708.6,8824.5,9149,9310.2,9408.8,9558.8,9726.7,9888.1,10007,10116,10213,10296,10399,10469,10587,11225,11415,11514,11675,11844,12027,12147,12255,12351,12434,12537,12609,12728
2029.8,2161.3,2326.4,2536.7,2668.7,2859.6,2987.3,3138.6,3242.7,3307.4,3446.3,3720.8,3857.1,3989.6,4177.4,4310.9,4474.8,4586.9,4684,4775.1,4854,4959.2,5025.9,5165.5,5642.4,5795.9,5915.6,6124.8,6261,6434.4,6549,6645.2,6734.8,6816,6925.6,6993.2,7130.1,7429.8,7604.2,7720.9,7925.7,8053.8,8198.7,8317.6,8414.8,8506.4,8587.5,8695.3,8759.4,8905.8,9195.6,9349,9474.1,9672.9,9804.9,9961.3,10076,10179,10269,10351,10455,10525,10663,11269,11451,11572,11788,11917,12097,12220,12316,12406,12488,12595,12665,12805
