i,l,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,w,r,n,n,a,d,f,a,b,r,i,i,w,r,n,n,a,d,f,a,b,r
1355.4,1558.7,1812.1,1978.9,2180.6,2299.5,2411.7,2506.4,2589,2691.5,2762.8,2883.8,3075.3,3198.2,3307.2,3407.3,3491.2,3599.7,3667.2,3785.3,4216.4,4666.9,4833.2,5008.7,5128.6,5236.3,5333.7,5417.6,5519.4,5594.6,5711.6,6477.2,6817.4,6974.8,7145.8,7314.4,7432.5,7541.8,7638.2,7720.5,7823.2,7894.3,8014
1398.1,1591.1,1917.6,2051.4,2251.7,2370.3,2471.3,2562.3,2639.2,2747.4,2815.7,2955.2,3145.7,3267.4,3361.9,3459.5,3537.3,3644.5,3711.6,3856.4,4257.4,4779.6,4908.7,5079.8,5198.5,5298.9,5385.1,5466.4,5578.8,5645.2,5786.5,6520.5,6872.6,7083,7215.3,7387.2,7502.5,7601.3,7692.3,7770.5,7880.4,7944.6,8086.8
