l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,w,r,n,n,a,d,f,a,b,r
228.75,369.13,570.54,680.4,906.23,1041.3,1246.6,1380,1551.7,1649.4,1820.8,1983.3,2144.6,2261.7,2368.9,2440.8,2556.4,2845.6,3012.9,3114.8,3270.4,3437.9,3608.4,3727.4,3834.4,3932,4014.5,4117.2,4191.4,4304.8,4518.7,4644.4,4754.8,4850.1,4933.6,5033.9,5107.8,5224.8,5556.7,5772,6024.8,6191.9,6371,6487.6,6596.6,6693.6,6776.8,6877.8,6949.2,7068.8
314.2,442.37,631.57,753.64,973.36,1086.6,1313.7,1425.1,1600.6,1716.5,1921.6,2050.1,2218.7,2331.3,2425.6,2495.5,2632.3,2889.7,3050.7,3171.1,3379.8,3510.9,3679.1,3800.2,3892.4,3983.7,4063.8,4172.1,4237.1,4379,4591.6,4713.4,4809.7,4902.1,4981.6,5088.4,5152.8,5296.1,5598.4,5802.9,6129.7,6259.7,6442.5,6558.7,6657,6748.3,6826.2,6934.9,6999.2,7142.6
