l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1988.1,2160,3034.5,3170.9,3426.5,3561,3752.2,3873.3,4011.3,4116.5,4267.6,4425,4588.5,4697.5,4802.4,4872.7,4984,5163.5,5276.8,5382.7,5477.2,5557.7,5658.8,5728.1,5841.2,6017.8,6138,6243.7,6338.5,6419.4,6519.5,6591.2,6703.7,6882.8,7000,7108.7,7204.2,7286.4,7387.6,7459,7570.3,8002.7,8180.9,8277.3,8425.7,8589.6,8766.2,8881.2,8990.9,9086.2,9166.4,9268.2,9338.7,9452.7,9615,9730.3,9838,9916.1,10030,10387,10523,10617,10769,10934,11117,11232,11340,11436,11518,11620,11690,11805,11973,12088,12198,12293,12375,12478,12550,12665
2022.6,2209.6,3071,3218.4,3462,3608.5,3789.1,3921.2,4047.8,4174,4369.3,4497,4661,4768.8,4858.2,4924.5,5061.6,5233.2,5347.4,5441.6,5528.6,5610.5,5715.5,5782.6,5917.2,6093.6,6207.8,6301.9,6392.2,6474.5,6578.9,6644.7,6782,6956.2,7073.9,7166.9,7257.4,7339.8,7444.1,7514.8,7651.7,8048,8219.1,8343.1,8535.7,8669.6,8839.8,8954.3,9050.1,9140,9223.8,9326.5,9393.9,9528.4,9688.2,9803.8,9897.8,9969.3,10103,10431,10559,10678,10878,11014,11189,11308,11400,11488,11569,11677,11744,11884,12046,12162,12257,12346,12427,12534,12601,12741
