l,i,l,i,l,i,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1995.2,2139.3,2368.4,2507.7,2704.8,2832.1,3252.8,3409.3,3522.6,3651.8,3837.5,4014,4128.9,4235.3,4330.8,4411.9,4512.6,4584.2,4698,5205.6,5332.4,5557.4,5666.8,5799.5,5981.8,6172.6,6289.6,6397.3,6493.1,6574.1,6676.2,6746.1,6860.3,7155.7,7304.6,7402,7535.6,7716.9,7898.1,8016.2,8124,8218.6,8300.7,8404.3,8474.2,8591.4,8979.2,9141.2,9241,9375,9560.7,9727.8,9846.6,9953.7,10051,10134,10236,10306,10423,11310,11445,11626,11733,11868,12053,12237,12353,12461,12560,12642,12745,12816,12932,13281,14245,14376,14545,14660,14793,14979,15153,15271,15381,15478,15559,15661,15733,15850,16293,16557,16686,16981,17109,17255,17355,17426,17541,17735,17857,17968,18067,18149,18252,18325,18443,18918,19114,19226,19361,19545,19721,19843,19955,20053,20137,20241,20313,20429
2028.1,2186.9,2401.6,2556.1,2740.3,2880.9,3298.6,3446.5,3580.5,3786.5,3917.3,4083.1,4200.4,4294.6,4384.1,4468.3,4571.8,4636.8,4778.2,5240.5,5382,5592.2,5729.8,5927.6,6059.5,6242,6357.4,6458.9,6546.6,6627.6,6734.7,6803.4,6941.2,7203.9,7342.3,7464.5,7662,7795.7,7971.5,8086.8,8184.9,8273.7,8354.7,8463.5,8530.4,8669.2,9028.5,9182.8,9310.1,9505.9,9644.6,9802.3,9918.8,10017,10106,10190,10299,10362,10503,11350,11494,11662,11800,12001,12135,12308,12424,12525,12613,12697,12807,12871,13011,13329,14280,14425,14585,14722,14926,15061,15222,15343,15443,15533,15614,15720,15787,15928,16342,16594,16738,17022,17163,17313,17412,17481,17623,17806,17928,18029,18125,18205,18315,18382,18521,18971,19154,19291,19489,19628,19794,19913,20018,20111,20196,20304,20369,20509
