l,l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1989.8,2199,2536.1,2677.3,2887.2,3054.9,3271.8,3415.5,3703.5,3838,4013.7,4117.8,4247.8,4425.7,4594,4709.4,4818.5,4914.5,4996.2,5099.4,5169.5,5285.8,5656.2,5858.1,5975.5,6126,6294.2,6484.2,6601.8,6709.7,6806.6,6889.8,6992.8,7063.4,7178.8,7582.5,7779,7877.8,8017.3,8194.3,8364.9,8483.2,8590.4,8686.3,8768.2,8872.2,8943.2,9063.5
2021,2236,2571.1,2724.6,2923.8,3104,3310.2,3464.5,3739.2,3886.7,4050.4,4183.8,4373.2,4505.1,4667,4780.9,4880.4,4969.9,5052.3,5154.9,5224.4,5366.1,5700.6,5893.8,6036.3,6239.8,6374.8,6556.9,6674.3,6772.6,6860.8,6947.4,7052.8,7118.6,7261.4,7628.3,7816.1,7943.2,8137.6,8269.6,8437.9,8554.7,8652.3,8742.4,8824.5,8935.2,8998.8,9138.5
