l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1729.6,1984.5,2129.5,2317.4,2813,2941,3163.9,3298.5,3502.7,3638.5,3835.4,3966,4206.7,4339.4,4560,4685.2,4820.5,4923.8,5069.7,5237.2,5412.5,5526.2,5633.7,5728.6,5810.6,5911.8,5982.3,6096.5,6545.4,6718.3,6816.5,6963,7134.4,7304.6,7421.8,7528.9,7624.6,7706.7,7807.7,7882,7993.2,8366.5,8544.7,8640,8793,8948,9102.8,9218.3,9326.5,9422.3,9504.2,9605.8,9677.4,9792.7,9982.4,10100,10207,10303,10387,10489,10560,10674,11135,11262,11457,11566,11715,11887,12059,12180,12292,12388,12471,12572,12644,12759,13624,13764,13915,14028,14160,14323,14484,14602,14711,14809,14892,14994,15065,15183,15403,15518,15629,15725,15808,15912,15984,16102
1762.9,2019.1,2166.3,2362.5,2849.8,2986.4,3200.8,3347.5,3540.3,3685.5,3871.2,4012.9,4245.7,4388.6,4597.2,4733.4,4857.5,4983,5180.6,5311.8,5481.4,5597.6,5694.3,5781,5861,5970.4,6035.2,6173.2,6592,6755.2,6873.6,7077.2,7206.2,7374.5,7491.6,7587.9,7676.6,7755.3,7863.7,7927.9,8065.9,8409,8581.5,8698.3,8893.4,9020.7,9176.6,9290.9,9387.3,9475,9554.9,9662.7,9731,9873.6,10057,10171,10266,10354,10436,10545,10610,10747,11168,11307,11496,11623,11830,11966,12132,12252,12351,12441,12524,12629,12696,12833,13658,13810,13946,14067,14267,14398,14560,14678,14770,14862,14941,15051,15118,15259,15475,15593,15690,15780,15859,15970,16037,16176
