l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r
2774.2,2951.2,3230.5,3369.1,3575.7,3708.6,3969.5,4109,4309.4,4429.5,4574.5,4747.2,4925,5041.9,5149.8,5246.5,5327.9,5429.6,5500.7,5615.7,6192.8,6390.2,6521.8,6747.9,6857.1,7005.9,7189.3,7360.9,7482.3,7589.8,7686.2,7768.7,7872,7941.2,8058.2,8585.2,8689.2,8823.8,9018.3,9172.9,9289.6,9400.3,9497.8,9580.8,9690.5,9759.8,9872.4,10250,10396,10499,10652,10818,10997,11114,11224,11320,11403,11507,11577,11694,12156,12378,12486,12621,12805,12988,13106,13216,13313,13396,13501,13572,13690,14409,14540,14699,14816,14960,15144,15339,15456,15565,15663,15745,15849,15921,16038
2811.4,2997.8,3266.9,3416.8,3610.9,3756,4008.4,4157.7,4348.1,4492.8,4694.2,4823.2,4998.5,5113.2,5211.6,5300.4,5384.1,5490.4,5551.9,5694.5,6241.2,6427.6,6570.9,6784.5,6927.4,7132.2,7271.3,7431.5,7551.7,7650.8,7741.6,7823.4,7931,7996.9,8143.4,8623.6,8757.4,8963.2,9099.1,9244.4,9362.5,9461.5,9554.2,9636.7,9738.1,9802.4,9956.9,10299,10437,10566,10762,10899,11068,11185,11288,11376,11458,11569,11633,11777,12206,12418,12551,12750,12886,13059,13179,13280,13371,13451,13561,13628,13768,14446,14587,14736,14874,15086,15224,15411,15526,15629,15721,15801,15912,15976,16118
