l,l,i,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,w
1404.6,1611.9,1769.2,2112.3,2254.8,2385.6,2640,2769.3,2978.6,3078.2,3228.8,3387.1,3601.7,3725.6,3832.3,3930.6,4013.2,4116.4,4187.9,4303.7,4790.6,5005.2,5109.2,5269.5,5438.3,5598.7,5719.8,5828.6,5926.1,6008.7,6113.3,6184,6301.1,6557,6746.9,6842.3,6991.3,7162.6,7326.6,7445.1,7563.3,7650.9,7734.4,7837.5,7911.7,8028.2,8445.4,8895.2
1435.6,1644.4,1811.6,2155.8,2288,2432.6,2672.4,2816.5,3014.7,3135.3,3331.6,3458.4,3675.8,3796.8,3891,3983.8,4062.9,4172,4240.1,4380.1,4837.8,5042.4,5167.9,5383.7,5510.8,5671.8,5792.3,5885.4,5980.2,6059.5,6166.4,6236.2,6373.6,6601,6782.1,6901.2,7107.2,7237.5,7399.7,7515.1,7612.2,7704.8,7785.4,7892.6,7961.2,8098.5,8487.4,8989.9
