l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
699.88,878.71,1064.7,1276.4,1405.9,1642.8,1787.2,1980.4,2096.7,2248.1,2346.5,2418.4,2536.5,2729.5,2849.2,2959.7,3056.7,3140.8,3252,3317.9,3434.2
751.9,947,1106.8,1307.8,1452.7,1672.1,1833.9,2013.8,2149.7,2300.2,2402.5,2470.9,2609.5,2799.1,2921.5,3018.4,3111.8,3189.5,3296.5,3367.2,3501.8
