l,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1989.4,2231,2370.3,2562.2,2684.2,2852.8,2952.1,3083.6,3255.4,3436.7,3550.4,3655,3749.3,3829.5,3932.2,4000.4,4114.5,4432.6,4610.1,4703.5,4850.1,5012.2,5229.4,5342.9,5449.4,5544.7,5625.1,5726.8,5795.5,5911.5,6277.2,6452.8,6550.3,6679.3,6854.7,7022,7137.1,7244,7339.5,7419.5,7519.8,7588.9,7705.1,7906.2,8021.1,8131,8225.8,8307.7,8409.5,8479.7,8595.5,9001.3,9169.8,9263.1,9415.8,9580.8,9750.5,9870.1,9975.9,10073,10155,10257,10328,10443,10964,11085,11303,11404,11548,11723,11870,11987,12096,12193,12275,12377,12446,12564,12932,13118,13225,13383,13546,13764,13884,13990,14087,14171,14275,14346,14462
2021.7,2264.8,2416.7,2596.8,2733.5,2885.8,3023.6,3200.9,3333.9,3509,3623.2,3716.9,3802.8,3885.7,3991.7,4055.5,4191.9,4483.7,4647.9,4773.4,4957.6,5085.5,5298.1,5411.6,5511.3,5599.8,5679.2,5783.5,5849.5,5990.4,6322.5,6489.8,6620.1,6801.2,6931.4,7091.4,7205.1,7303.1,7393.2,7474.9,7577.3,7644.5,7783.9,7979.6,8093.3,8192.8,8281.4,8363,8468.5,8534.2,8673.5,9048.3,9208.3,9323.4,9527,9659.5,9823.5,9939.9,10038,10129,10207,10314,10382,10522,10999,11136,11340,11465,11674,11801,11947,12061,12154,12249,12328,12438,12505,12643,12980,13154,13286,13490,13625,13837,13955,14052,14143,14227,14334,14402,14540
