l,l,l,l,i,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,l,i,i,w,r,n,n,a,d,f,a,b,r
1802.1,1985.1,2144.8,2402.6,2552.9,2923.4,3099,3235.7,3432,3559.5,3729.4,3843.4,3993.5,4157.1,4346.5,4462.8,4571.2,4669.4,4752.1,4854.5,4924.4,5043.1,5417.6,5591.8,5722.8,5869.3,5971,6104.6,6295.2,6506.2,6623.7,6733.3,6829.3,6912.2,7015.8,7085.1,7202.9,7622.2,7781.3,7877,8027.4,8195.1,8377.7,8493.8,8602.2,8697.6,8781.1,8883.9,8954.9,9072.8,9547.3,9654.3,9799.4,9971.2,10150,10271,10379,10475,10558,10661,10733,10849,11383,11519,11816,12368,12533,12712,12828,12935,13033,13116,13220,13290,13409
1833.9,2017.5,2182,2437.4,2599.2,2968.9,3137.4,3282.5,3468.8,3607.2,3764.4,3907.5,4100.8,4234.6,4417,4536.8,4630.8,4724.2,4806.8,4910,4978.8,5115.1,5463.2,5626.6,5771.9,5907.3,6030.4,6234.4,6373.8,6575.4,6694.6,6791.6,6882.8,6964.9,7071.1,7139.9,7278.4,7666.5,7816.5,7934.3,8138.7,8270.5,8448.6,8563.6,8659.4,8752.5,8832.6,8939.6,9008.9,9148,9581.8,9711.7,9914.1,10047,10224,10341,10436,10530,10612,10718,10786,10926,11414,11562,11862,12472,12604,12783,12900,12998,13089,13170,13280,13347,13482
