l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1204.1,1992.8,2139.1,2333.3,2465,2693.9,2826.6,2992.5,3088.4,3157.2,3268.3,3458.2,3567,3671.2,3765.8,3846.2,3947,4016.3,4131,4305.9,4419.8,4525.2,4622.3,4702.7,4803.2,4871.9,4986.8,5168.8,5283.4,5388.6,5483.7,5565.2,5666.4,5736.4,5850.8,6058.9,6174.3,6280.6,6375.8,6456.7,6560.3,6630.9,6745.7,6937.9,7058.9,7165.6,7261.4,7343,7444.8,7514.7,7631.8,8079.1,8230.6,8334.4,8483.9,8644.1,8794.5,8912.9,9020.9,9116.4,9197.8,9300.1,9371.6,9487.1,9837.6,10044,10140,10280,10452,10616,10734,10841,10937,11020,11122,11191,11308,11533,11650,11758,11855,11937,12039,12111,12229,12810,12930,13126,13230,13381,13546,13726,13844,13949,14047,14130,14234,14304,14421,15472,15598,15784,15901,16031,16214,16383,16501,16609,16705,16787,16891,16962,17080,17297,17432,17541,17639,17722,17825,17896,18014
1239.5,2026.1,2183.9,2364.2,2509.8,2728.6,2872.4,3042.1,3144.8,3210.6,3341.6,3525.1,3635.1,3730.2,3817.7,3896.4,4006,4065.9,4206.9,4375.3,4488.8,4585.9,4672.8,4757.6,4859.4,4921.3,5066.4,5240.9,5351.3,5448.8,5536.5,5614.3,5723.2,5785.2,5926.9,6129.5,6242.9,6340.8,6429.3,6511.1,6618.5,6681.7,6823.7,7010.7,7129.6,7226.1,7314,7391.6,7502.4,7566.9,7712.8,8126.9,8267.2,8393.2,8586,8723.1,8868.8,8986.2,9081.8,9171.4,9254.3,9360.8,9426.2,9566.9,9884.5,10079,10206,10395,10526,10689,10805,10902,10992,11070,11179,11244,11383,11603,11721,11818,11908,11989,12100,12165,12303,12841,12979,13162,13290,13491,13625,13800,13913,14010,14101,14182,14293,14355,14499,15506,15645,15818,15959,16156,16286,16455,16572,16672,16761,16844,16953,17017,17156,17370,17504,17603,17695,17776,17887,17952,18091
