l,l,l,l,l,l,l,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1270.6,1683.3,1837.7,1992.2,2120.7,2298.7,2453.4,2610.2,2832.2,2975.9,3151.8,3247.6,3317.3,3427.5,3785.2,3973.5,4066.3,4201.7,4376.2,4547,4660.2,4767,4862.2,4943,5043.5,5112.8,5227.8,5496.2,5624.6,5719.7,5856.2,6032.8,6187.2,6301.4,6408,6504.5,6586.6,6688.2,6759,6874.6,7046.4,7163.6,7269.8,7367,7448.1,7549.9,7619.9,7736.5,8007.2,8190.2,8284.7,8418.2,8601.2,8751.4,8869.4,8978.5,9074.5,9156.3,9259.2,9330.8,9448,9738.8,9889.4,9983.8,10123,10303,10450,10569,10677,10773,10856,10958,11029,11147,11462,11668,11767,11920,12082,12240,12357,12465,12562,12645,12748,12820,12936
1315.7,1723.5,1875.4,2024.4,2159.3,2333.7,2489.9,2655.8,2865.6,3025.1,3201.2,3304.2,3370.5,3505.4,3829.9,4009.9,4131.7,4321.6,4454.1,4616.8,4731.8,4826.2,4913.5,4996.1,5099.1,5166.4,5307.4,5543.3,5664.7,5781.8,5980.5,6113,6256,6371.2,6469,6557.7,6636.8,6744,6812.4,6951.8,7119.8,7233.3,7329.2,7420.5,7501.4,7612.2,7674.9,7818.2,8055.2,8228.3,8344.3,8545.8,8678.5,8821.2,8939,9040.8,9130.6,9210.9,9318.8,9384.4,9525.4,9791.3,9927.8,10048,10250,10384,10522,10638,10739,10829,10912,11020,11085,11228,11511,11706,11829,12028,12164,12314,12426,12527,12619,12699,12808,12875,13014
