i,w,r,n,n,a,d,f,a,b,r,i,i
1188.5,1638.4,1797.2,1991.8,2109.9,2218.2,2315.4,2399.6,2499.2,2574.3,2689.4,3325.2,3644.3
1230.6,1733.1,1866.6,2061.4,2180.8,2274.1,2364.6,2445.3,2551.8,2617.5,2757.8,3368.4,3689.5
