l,l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,w,r,n,n,a,d,f,a,b,r
1631.5,1803.8,1979.1,2146.2,2356.3,2484.8,2693.4,2818.2,3040.2,3160.2,3353.2,3453.3,3603,3764.9,3935.2,4053,4159.1,4255.8,4337.9,4439,4509.9,4628.6,4825.1,4941.8,5051.1,5149.8,5232.7,5335.6,5407,5527.9,5913.8,6353.4,6511.5,6695.6,6815.8,6923.2,7020.8,7105.4,7207.9,7280.4,7401.2
1662.3,1839.8,2013.4,2190.8,2388.2,2532.8,2728.8,2866.8,3077.6,3210.4,3388.8,3484.2,3703.2,3832.6,4005.6,4120.2,4218.9,4309.7,4387.8,4493.9,4564.2,4702.6,4898.2,5011.5,5107.1,5203.2,5284.1,5391,5457.1,5594.4,5954.9,6451.8,6578,6767.8,6883.9,6980.3,7076.1,7154,7263.8,7329.8,7472
