l,l,l,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1974.6,2124,2293.3,2568.2,2697.2,2826.7,2939,3082.7,3245.3,3415.8,3529.5,3639.7,3735,3816.2,3918,3988.2,4101.4,4442.2,4635.8,4741.6,4897.2,5061.8,5228.4,5342.6,5451.8,5548.4,5630.9,5732.1,5803,5920.2,6407.4,6564.3,6666.8,6802.2,6983.8,7130.2,7252.1,7360.6,7457.2,7539.4,7643,7714.1,7830.9,8156.6,8395.9,8519,8720.2,8828.2,8966.5,9153.2,9358.6,9480.2,9588.5,9686.6,9770.6,9876.6,9945.8,10063
2009.8,2156.8,2329,2601.6,2741.6,2861.1,2990.8,3191.1,3320,3486.9,3597.2,3699.7,3787.9,3869.2,3975.6,4038.1,4180.8,4490,4675,4799.6,5004.5,5138.1,5300,5413.6,5512.8,5601.6,5684.1,5791.3,5858.1,5998.8,6452.4,6603.9,6728,6929.8,7062.3,7201.4,7321,7420.8,7512,7593.3,7701.4,7767.3,7912.5,8204.6,8436,8567.9,8756.4,8892.9,9101,9233.3,9429.7,9550.8,9650.6,9743.6,9825.4,9936.2,10002,10143
