i,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
871.32,1275.8,1523.8,1631.8,1781.3,1943.8,2111.6,2221.9,2328.2,2423.7,2504.2,2603.9,2673.6,2789.8,2961.4,3077.4,3182.9,3276.5,3358.2,3458.2,3533.1,3643.7,3982.8,4117,4209.3,4359,4526.8,4678.5,4793.9,4902.1,4996,5076.8,5180.4,5254.2,5370.1,5547.9,5662.6,5769.3,5864.8,5946.6,6049.4,6120.9,6237.1,6552,6768.8,6860.6,7014.1,7170.6,7358.7,7472.4,7582.2,7678.7,7760.2,7863.2,7933.8,8049.2
925.25,1348.6,1557.4,1699.2,1889.3,2013,2176.8,2293.6,2389.9,2474.9,2552.1,2657.8,2721.6,2862.1,3036.6,3148,3241.1,3330.5,3408.8,3516.6,3576.9,3716.9,4028.8,4153.6,4241.5,4469.1,4598.3,4748.8,4864.2,4962.2,5048.1,5127,5237.3,5298.7,5443.1,5622.2,5734.8,5831.3,5920.2,6000.3,6105.6,6167.6,6308.9,6598.5,6806.2,6922.5,7117.8,7246.8,7430.8,7546.1,7643,7732.3,7811.2,7919.6,7980.7,8122.4
