l,i,l,w,r,n,n,a,d,f,a,b,r
1557.3,1682.3,1880.4,2140.8,2308.4,2483.9,2619.5,2728,2825.8,2909.4,3013.1,3084.6,3201.7
1589.5,1727.3,1915,2248.5,2381.2,2556.7,2688.7,2787.2,2880.5,2956.4,3068.5,3136.7,3274.9
